plant_ID,species,measured,Fv_Fm
M6,monroi_Porters,Prior to watering,0.835
M6,monroi_Porters,Prior to watering,0.835
M7,monroi_Porters,Prior to watering,0.813
M7,monroi_Porters,Prior to watering,0.811
M7,monroi_Porters,Prior to watering,0.842
M7,monroi_Porters,Prior to watering,0.841
M8,monroi_Porters,Prior to watering,0.813
M8,monroi_Porters,Prior to watering,0.811
M8,monroi_Porters,Prior to watering,0.816
M8,monroi_Porters,Prior to watering,0.814
M9,monroi_Porters,Prior to watering,0.857
M9,monroi_Porters,Prior to watering,0.867
M9,monroi_Porters,Prior to watering,0.842
M9,monroi_Porters,Prior to watering,0.841
C4,crithmifolius,Subsequent to watering,0.820
C4,crithmifolius,Subsequent to watering,0.806
C4,crithmifolius,Subsequent to watering,0.791
C4,crithmifolius,Subsequent to watering,0.778
C6,crithmifolius,Subsequent to watering,0.802
C6,crithmifolius,Subsequent to watering,0.804
C6,crithmifolius,Subsequent to watering,0.800
C6,crithmifolius,Subsequent to watering,0.766
C7,crithmifolius,Subsequent to watering,0.735
C7,crithmifolius,Subsequent to watering,0.743
C7,crithmifolius,Subsequent to watering,0.775
C7,crithmifolius,Subsequent to watering,0.746
C8,crithmifolius,Subsequent to watering,0.809
C8,crithmifolius,Subsequent to watering,0.809
C8,crithmifolius,Subsequent to watering,0.811
C8,crithmifolius,Subsequent to watering,0.806
L1,lobulatus,Subsequent to watering,0.830
L1,lobulatus,Subsequent to watering,0.846
L1,lobulatus,Subsequent to watering,0.839
L1,lobulatus,Subsequent to watering,0.833
L10,lobulatus,Subsequent to watering,0.804
L10,lobulatus,Subsequent to watering,0.804
L10,lobulatus,Subsequent to watering,0.814
L10,lobulatus,Subsequent to watering,0.793
L2,lobulatus,Subsequent to watering,0.839
L2,lobulatus,Subsequent to watering,0.833
L2,lobulatus,Subsequent to watering,0.816
L2,lobulatus,Subsequent to watering,0.802
L3,lobulatus,Subsequent to watering,0.813
L3,lobulatus,Subsequent to watering,0.806
L3,lobulatus,Subsequent to watering,0.809
L3,lobulatus,Subsequent to watering,0.806
L4,lobulatus,Subsequent to watering,0.825
L4,lobulatus,Subsequent to watering,0.814
L4,lobulatus,Subsequent to watering,0.811
L4,lobulatus,Subsequent to watering,0.809
L5,lobulatus,Subsequent to watering,0.845
L5,lobulatus,Subsequent to watering,0.836
L5,lobulatus,Subsequent to watering,0.832
L5,lobulatus,Subsequent to watering,0.835
L6,lobulatus,Subsequent to watering,0.814
L6,lobulatus,Subsequent to watering,0.814
L6,lobulatus,Subsequent to watering,0.811
L6,lobulatus,Subsequent to watering,0.798
L7,lobulatus,Subsequent to watering,0.824
L7,lobulatus,Subsequent to watering,0.824
L7,lobulatus,Subsequent to watering,0.827
L7,lobulatus,Subsequent to watering,0.822
L8,lobulatus,Subsequent to watering,0.804
L8,lobulatus,Subsequent to watering,0.816
L8,lobulatus,Subsequent to watering,0.814
L8,lobulatus,Subsequent to watering,0.824
L9,lobulatus,Subsequent to watering,0.829
L9,lobulatus,Subsequent to watering,0.836
L9,lobulatus,Subsequent to watering,0.814
L9,lobulatus,Subsequent to watering,0.824
M1,monroi_Hutt,Subsequent to watering,0.793
M1,monroi_Hutt,Subsequent to watering,0.791
M1,monroi_Hutt,Subsequent to watering,0.778
M1,monroi_Hutt,Subsequent to watering,0.772
M10,monroi_Hutt,Subsequent to watering,0.788
M10,monroi_Hutt,Subsequent to watering,0.778
M10,monroi_Hutt,Subsequent to watering,0.806
M10,monroi_Hutt,Subsequent to watering,0.800
M11,monroi_Porters,Subsequent to watering,0.811
M11,monroi_Porters,Subsequent to watering,0.816
M11,monroi_Porters,Subsequent to watering,0.822
M11,monroi_Porters,Subsequent to watering,0.824
M12,monroi_Porters,Subsequent to watering,0.814
M12,monroi_Porters,Subsequent to watering,0.818
M12,monroi_Porters,Subsequent to watering,0.813
M12,monroi_Porters,Subsequent to watering,0.809
M2,monroi_Hutt,Subsequent to watering,0.800
M2,monroi_Hutt,Subsequent to watering,0.793
M2,monroi_Hutt,Subsequent to watering,0.816
M2,monroi_Hutt,Subsequent to watering,0.820
M3,monroi_Porters,Subsequent to watering,0.824
M3,monroi_Porters,Subsequent to watering,0.825
M3,monroi_Porters,Subsequent to watering,0.813
M3,monroi_Porters,Subsequent to watering,0.824
M4,monroi_Porters,Subsequent to watering,0.813
M4,monroi_Porters,Subsequent to watering,0.814
M4,monroi_Porters,Subsequent to watering,0.802
M4,monroi_Porters,Subsequent to watering,0.795
M6,monroi_Porters,Subsequent to watering,0.811
M6,monroi_Porters,Subsequent to watering,0.806
M6,monroi_Porters,Subsequent to watering,0.791
M6,monroi_Porters,Subsequent to watering,0.788
M7,monroi_Porters,Subsequent to watering,0.793
M7,monroi_Porters,Subsequent to watering,0.802
M7,monroi_Porters,Subsequent to watering,0.827
M7,monroi_Porters,Subsequent to watering,0.822
M8,monroi_Porters,Subsequent to watering,0.809
M8,monroi_Porters,Subsequent to watering,0.783
M8,monroi_Porters,Subsequent to watering,0.806
M8,monroi_Porters,Subsequent to watering,0.802
M9,monroi_Porters,Subsequent to watering,0.814
M9,monroi_Porters,Subsequent to watering,0.816
M9,monroi_Porters,Subsequent to watering,0.836
M9,monroi_Porters,Subsequent to watering,0.822
